ASIGNATURA;2017 1;2017 2;2018 1;2018 2;2019 1;2019 2;2020 1;2020 2;2021 1;2021 2;2022 1;2022 2;2023 1;2023 2;2024 1;CICLOS;AREAS
ELECTIVA DE APERTURA CONTABLE;0,0%;1,2%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
ELECTIVA DE CONTEXTO I;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
ELECTIVA DE CONTEXTO II;0,1%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
ELECTIVA DE CONTEXTO III;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
ELECTIVA DEL PROGRAMA I;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;;
ELECTIVA DEL PROGRAMA II;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
ELECTROMAGNETISMO;2,0%;1,4%;0,0%;0,9%;0,6%;2,9%;2,4%;2,8%;1,0%;3,5%;2,9%;3,2%;5,1%;1,5%;2,7%;Ciclo de profundizacion;Ciencias basicas
ESPIRITU EMPRESARIAL;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,4%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,7%;;
ESTADISTICA;0,0%;0,0%;0,0%;0,0%;1,2%;1,3%;1,2%;4,2%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,2%;;
ESTADISTICA DESCRIPTIVA E INFERENCIAL;3,8%;3,6%;0,0%;1,7%;1,5%;1,0%;0,8%;1,7%;2,6%;2,3%;2,5%;2,4%;1,4%;0,9%;0,6%;Ciclo de profundizacion;Ciencias basicas de la ingenieria
ESTADISTICA Y PROBABILIDAD;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
ESTRUCTURA DE DATOS;4,4%;1,3%;0,0%;4,3%;6,2%;6,1%;7,7%;7,8%;4,1%;6,8%;6,0%;8,6%;7,7%;4,3%;5,0%;Ciclo basico ingenieria;Ingenieria aplicada
EXPRESION GRAFICA;0,0%;0,0%;0,0%;0,1%;0,4%;0,1%;0,8%;0,5%;0,0%;0,0%;0,0%;0,0%;0,0%;0,9%;0,4%;;
FISICA I;1,5%;1,5%;0,0%;1,7%;0,6%;0,5%;0,4%;0,6%;0,0%;0,0%;0,0%;0,0%;0,0%;1,9%;2,3%;;
FISICA II;1,3%;0,9%;0,0%;1,9%;0,9%;0,2%;1,2%;0,2%;0,0%;0,0%;0,0%;0,0%;0,0%;1,1%;0,7%;;
FISICA III;1,3%;0,9%;0,0%;0,0%;1,1%;0,0%;0,8%;0,2%;0,0%;0,0%;0,0%;0,0%;0,0%;1,1%;1,3%;;
FORMULACION Y EVALUACION DE PROYECTOS;0,0%;0,1%;0,0%;0,0%;0,0%;0,4%;0,0%;0,0%;0,0%;0,0%;0,2%;0,0%;0,0%;0,1%;0,0%;Ciclo profesional;Ciencias basicas de la ingenieria
